,Gm28339,Eda
,Gm28345,Zfp36l3
,Gm28346,Mamld1
,Gm28348,Gm7331
,Gm28349,Nhs
,Gm28350,Rhox3e
,Gm28352,Samt2b
,Gm28353,1700020N15Rik
,Gm28354,Akap17b
,Gm28355,Gm14773
,Gm28356,Rp2
,Gm28357,4930595M18Rik
,Gm28365,Slc9a6
,Gm28366,Fthl17c
,Gm28367,Tmsb15a
,Gm28368,Arr3
,Gm28369,Etd
,Gm28371,H2al1o
,Gm28377,Plac1
,Gm28389,Mmgt1
,Gm28390,Mageb5
,Gm28391,Mospd2
,Gm28393,Pgk1
,Gm28394,Mageb1
,Gm28395,Ppef1
,Gm28396,Fmr1nb
,Gm28397,Hs6st2
,Gm28398,Gm10112
,Gm28399,Dgkk
,Gm28400,Tex28
,Gm28405,Gm382
,Gm28406,Ssxa1
,Gm28407,Atp11c
,Gm28412,2010204K13Rik
,Gm28413,Gm7117
,Gm28414,Brwd3
,Gm28420,Magea6
,Gm28421,Utp14a
,Gm28422,Gm4987
,Gm28423,Gm648
,Gm28425,Med14
,Gm28426,Mageb5b
,Gm28427,Rhox8
,Gm28428,Gm23628
,Gm28429,Gm22248
,Gm28430,None
,Gm28431,None
,Gm28432,Gm23404
,Gm28433,None
,Gm28435,Gm26441
,Gm28436,Gm26437
,Gm28440,Gm23613
,Gm28442,Gm23615
,Gm28443,Gm24624
,Gm28444,Gm24622
,Gm28445,None
,Gm28446,Gm26131
,Gm28452,Gm24460
,Gm28454,Gm25812
,Gm28456,Gm24147
,Gm28457,None
,Gm28458,None
,Gm28459,Gm25202
,Gm28460,Gm22686
,Gm28461,Gm24038
,Gm28462,Gm22359
,Gm28463,Gm23378
,Gm28464,None
,Gm28468,None
,Gm28469,Gm22364
,Gm28470,None
,Gm28471,Gm24535
,Gm28472,None
,Gm28473,None
,Gm28474,None
,Gm28475,Snord61
,Gm28476,Gm25481
,Gm28480,None
,Gm28481,None
,Gm28482,None
,Gm28483,Gm23454
,Gm28484,Gm26125
,Gm28485,None
,Gm28486,None
,Gm28487,Mir188
,Gm28488,Mir201
,Gm28489,Mir322
,Gm28490,Mir221
,Gm28491,Mir325
,Gm28495,Mir448
,Gm28504,Mir106a
,Gm28506,Mir222
,Gm28507,Mir19b-2
,Gm28508,Mir450-1
,Gm28509,Mir384
,Gm28510,Mir351
,Gm28517,Mir421
,Gm28518,Mir361
,Gm28519,Mir98
,Gm28520,Mir224
,Gm28521,Mirlet7f-2
,Gm28522,Mir92-2
,Gm28531,Gm24763
,Gm28532,Snora69
,Gm28533,Gm25895
,Gm28534,None
,Gm28537,n-R5s7
,Gm28538,Gm25651
,Gm28540,None
,Gm28541,Gm24491
,Gm28542,None
,Gm28545,Gm25006
,Gm28546,None
,Gm28547,None
,Gm28549,Gm26314
,Gm28550,None
,Gm28553,Gm22351
,Gm28554,Gm24522
,Gm28558,Gm26111
,Gm28560,Gm26108
,Gm28561,None
,Gm28565,None
,Gm28566,Rpl7a-ps11
,Gm28567,Eif1ax
,Gm28568,Usp51
,Gm28569,Vmn1r239-ps
,Gm28570,Capn6
,Gm28571,Pramel3
,Gm28572,Trmt2b
,Gm28573,Tspan6
,Gm28574,H2ab1
,Gm28575,Dmrtc1c2
,Gm28576,Dmrtc1c1
,Gm28584,Hdac8
,Gm28585,Dgat2l6
,Gm28587,Mageb18
,Gm28588,Obp1b
,Gm28589,Obp1a
,Gm28593,Xlr5c
,Gm28595,Xlr4b
,Gm28596,Pwwp4a
,Gm28597,Gm14661
,Gm28598,Zic3
,Gm28599,Htatsf1
,Gm28600,Map7d3
,Gm28603,Slxl1
,Gm28604,Rtl8b
,Gm28606,Rtl8a
,Gm28607,Olfr1321
,Gm28608,Gm14648
,Gm28611,Rhox9
,Gm28612,Tesl1
,Gm28613,Agtr2
,Gm28617,Tex13c3
,Gm28618,Btg1b
,Gm28619,Gm5931
,Gm28628,Ssxb9
,Gm28629,Ssxb10
,Gm28630,Gm7079
,Gm28632,Shroom4
,Gm28633,H2al1j
,Gm28636,Mir465
,Gm28637,Mir470
,Gm28646,Mir463
,Gm28647,Mir505
,Gm28648,Mir362
,Gm28649,Mir471
,Gm28654,Mir363
,Gm28655,Mir500
,Gm28656,Mir504
,Gm28657,Mir452
,Gm28658,Mir532
,Gm28662,None
,Gm28663,None
,Gm28664,None
,Gm28668,Gm16410
,Gm28670,Foxr2
,Gm28671,Rtl4
,Gm28672,Gm7123
,Gm28673,Tex13a
,Gm28674,Sms
,Gm28677,Nalf2
,Gm28678,1700010D01Rik
,Gm28679,Spin4
,Gm28680,Gspt2
,Gm28681,Gm5941
,Gm28682,Cldn34b3
,Gm28683,Pwwp4b
,Gm28684,Styx-ps
,Gm28687,Cdr1os
,Gm28689,Gm53064
,Gm28690,Olfr1320
,Gm28691,Rhox12
,Gm28692,Rhox7a
,Gm28695,Rhox3h
,Gm28696,Rhox4e
,Gm28697,Rhox4b
,Gm28698,Rhox3a
,Gm28699,Rhox1
,Gm28700,Gm14525
,Gm28701,Fthl17e
,Gm28702,Ssxb5
,Gm28704,Vmn2r121
,Gm28705,Cldn34b1
,Gm28709,Fthl17f
,Gm28716,Xlr5b
,Gm28717,G530011O06Rik
,Gm28718,Samt2
,Gm28725,Gm10439
,Gm28726,Gm15109
,Gm28732,Gm15107
,Gm28733,Gm15080
,Gm28734,Trpc5os
,Gm28735,Nup62cl
,Gm28736,Ripply1
,Gm28737,Tmsb15l
,Gm28738,Bhlhb9
,Gm28739,Gprasp2
,Gm28741,Armcx5
,Gm28742,Cpxcr1
,Gm28743,Cylc1
,Gm28749,Wmp
,Gm28751,Tent5d
,Gm28752,Gpr174
,Gm28753,Gm5127
,Gm28754,Fnd3c2
,Gm28757,Uprt
,Gm28758,Dmrtc1b
,Gm28759,Gm14812
,Gm28761,Zxda
,Gm28762,Zxdb
,Gm28763,Mageb2
,Gm28764,Cfap47
,Gm28765,Cldn34b4
,Gm28766,Smim9
,Gm28767,Xlr3b
,Gm28768,Gm1141
,Gm28769,Vma21
,Gm28770,Tmem185a
,Gm28771,4930567H17Rik
,Gm28772,Gm10477
,Gm28773,Zfp449
,Gm28774,Gm773
,Gm28775,Ccdc160
,Gm28776,Gm9
,Gm28780,Gm14819
,Gm28781,Gm10486
,Gm28786,Gm14632
,Gm28787,Gm10488
,Gm28788,Gm1993
,Gm28789,Gm14636
,Gm28790,Gm10490
,Gm28795,Gm10491
,Gm28796,Nudt10
,Gm28797,Ezhip
,Gm28798,Nudt11
,Gm28799,None
,Gm28808,Mir547
,Gm28810,Mir652
,Gm28811,Mir20b
,Gm28812,Mir450b
,Gm28813,Mir223
,Gm28814,None
,Gm28815,Mir503
,Gm28816,Mir718
,Gm28817,Mir542
,Gm28819,Mir717
,Gm28820,Mir501
,Gm28823,Mir374b
,Gm28824,Mir672
,Gm28827,None
,Gm28828,Mir676
,Gm28829,Mir450-2
,Gm28831,Mir767
,Gm28832,Mir764
,Gm28833,None
,Gm28834,Mir742
,Gm28835,Mir18b
,Gm28837,Mir741
,Gm28838,Mir743
,Gm28839,Gm22266
,Gm28840,Gm25097
,Gm28841,Gm22785
,Gm28842,Gm22783
,Gm28843,Gm24123
,Gm28844,Gm22472
,Gm28846,None
,Gm28847,Gm25170
,Gm28848,Gm25421
,Gm28849,Gm24281
,Gm28850,Gm22592
,Gm28851,Gm22590
,Gm28852,Gm25915
,Gm28853,Gm26417
,Gm28854,Gm22023
,Gm28855,Gm23705
,Gm28858,Gm25795
,Gm28859,None
,Gm28860,Gm23768
,Gm28861,Gm23320
,Gm28866,Gm23322
,Gm28870,Gm24470
,Gm28871,Gm25728
,Gm28878,None
,Gm28879,Snora35
,Gm28880,Mir105
,Gm28885,None
,Gm28886,None
,Gm28887,Mir878
,Gm28889,Mir880
,Gm28890,Mir883a
,Gm28891,Mir883b
,Gm28894,None
,Gm28895,Mir881
,Gm28896,F630028O10Rik
,Gm28897,Gm5071
,Gm28898,Fthl17d
,Gm28899,Fthl17b
,Gm28907,Gm5924
,Gm28908,Gm3757
,Gm28909,Btbd35f4
,Gm28910,Gm5925
,Gm28915,Btbd35f3
,Gm28916,Gm14762
,Gm28917,Fam47c
,Gm28918,F8a
,Gm28919,Tex13c1
,Gm28920,Btbd35f14
,Gm28921,H2al1n
,Gm28930,Gm2223
,Gm28936,Rab9
,Gm28937,Trappc2
,Gm28938,Magea5
,Gm28939,Magea8
,Gm28943,Gm8334
,Gm28944,Luzp4
,Gm28945,Gm15114
,Gm28946,Atg4a
,Gm28947,Tceal7
,Gm28948,Gm15023
,Gm28949,Rpl36a
,Gm28950,Cldn34c1
,Gm28951,4933403O08Rik
,Gm28952,1700011M02Rik
,Gm28953,Gm9112
,Gm28954,Pin4
,Gm28955,Nhsl2
,Gm28956,Med12
,Gm28957,Apoo
,Gm28958,Zfx
,Gm28961,4932429P05Rik
